education,skills,interests,experience,passout_year,career_preference,target_career
MBA,Data Analysis;Leadership;Marketing;Power BI;Problem Solving,Business,2,2024,Fast Growth,Product Manager
MCA,Cloud;Cybersecurity;Machine Learning;Python,Startup;Teaching,4,2022,Remote Job,Cloud Engineer
MBA,Canva;Communication;Excel;Finance;Problem Solving;Statistics,Data;Startup,0,2026,High Salary,Investment Analyst
BA,Canva;Communication;Critical Thinking;Design;Problem Solving,Design;Startup,8,2018,Abroad Opportunity,UI/UX Designer
BCom,Communication;Critical Thinking;Data Analysis;Excel;Problem Solving;SQL;Statistics,Business;Data,4,2020,Remote Job,Business Analyst
BA,Canva;Communication;Data Analysis;Excel;Python,Data,2,2024,Government,Marketing Analyst
MBA,Communication;Critical Thinking;Data Analysis;Excel;Marketing,Data;Management,0,2025,Startup Culture,Operations Analyst
BBA,Canva;Communication;Marketing;Tableau;Video Editing;Writing,Design;Research;Startup,1,2025,Startup Culture,Digital Marketer
BA,Communication;Critical Thinking;Power BI;Public Speaking;SQL,Research;Teaching,3,2023,Job Security,Teacher
BBA,Communication;Data Analysis;Problem Solving,Product Management;Startup,8,2018,Startup Culture,Product Manager
MBA,Data Analysis;Leadership;Marketing;Problem Solving;Tableau;Writing,Business,5,2021,High Salary,Product Manager
Other,Canva;Communication;Critical Thinking;Cybersecurity;Design;Power BI,Startup,5,2021,Fast Growth,UI/UX Designer
BTech,AI/ML;Data Analysis;Public Speaking;Python;Statistics,AI;Data,1,2025,Fast Growth,Data Scientist
BCom,Communication;Critical Thinking;Data Analysis;Leadership;SQL;Tableau,Management,1,2025,High Salary,Management Consultant
BBA,Communication;Leadership;Marketing;Public Speaking;Sales;Video Editing,Business;Design;Startup,3,2023,Job Security,Sales Manager
BTech,Cloud;Critical Thinking;Power BI;Problem Solving;Python,Coding;Cybersecurity,3,2022,High Salary,Cybersecurity Analyst
BA,Data Analysis;Excel;Java;Leadership;Problem Solving,Business;Data,5,2021,Job Security,HR Analyst
BCom,Critical Thinking;Data Analysis;Finance;Leadership;Machine Learning;Problem Solving;Video Editing,Business;Consulting;Design,4,2022,Abroad Opportunity,Management Consultant
BCom,Leadership;Marketing;Public Speaking;Sales,Startup,5,2021,Startup Culture,Sales Manager
BBA,Communication;Data Analysis;Problem Solving,Marketing;Startup,1,2025,Fast Growth,Product Manager
BBA,Communication;Data Analysis;Excel;Java;Marketing;Statistics,Data,3,2022,High Salary,Marketing Analyst
BTech,Cybersecurity;Java;Problem Solving;Python,Cybersecurity;Startup,4,2022,Remote Job,Cloud Engineer
BBA,Communication;Marketing;Public Speaking,Business;Design;Startup,0,2026,Government,Sales Manager
MCA,AI/ML;Cloud;Communication;Java;Machine Learning;SQL;Statistics,AI;Coding,0,2026,High Salary,ML Engineer
BBA,Communication;Critical Thinking;Leadership;Machine Learning;Marketing;Public Speaking;Sales,Business;Startup,3,2023,Abroad Opportunity,Sales Manager
BBA,Communication;Data Analysis;Excel;Problem Solving;SQL;Sales;Teaching,Business;Cybersecurity;Data,1,2024,High Salary,Business Analyst
BCA,Critical Thinking;Java;Problem Solving;Python;SQL;Sales,Coding,2,2024,Government,Software Engineer
BBA,Communication;Data Analysis;Design;Excel;Finance;Video Editing,Business;Data;Healthcare,2,2024,Job Security,Financial Analyst
MCA,Cloud;Critical Thinking;Java;Problem Solving;Python,AI;Coding,4,2022,Remote Job,Software Engineer
BTech,AI/ML;Data Analysis;Machine Learning;Python;SQL;Statistics;Video Editing,Data,6,2020,Fast Growth,Data Scientist
MTech,AI/ML;Cloud;Machine Learning;Python;SQL;Tableau,Coding;Management,3,2022,High Salary,AI Engineer
MBA,Communication;Critical Thinking;Data Analysis;Design;Finance;Java;Leadership;Problem Solving,Consulting;Management;Trading,0,2025,High Salary,Management Consultant
BTech,Communication;Critical Thinking;Data Analysis;Finance;Leadership;Problem Solving,Business,5,2021,Abroad Opportunity,Management Consultant
BCom,Communication;Critical Thinking;Excel;Leadership;SQL;Statistics,Finance;Trading,3,2023,Abroad Opportunity,Investment Analyst
BTech,Cloud;Cybersecurity;Leadership;Problem Solving;Python;SQL,Cybersecurity;Management;Startup,1,2023,Remote Job,Cloud Engineer
BA,Communication;Critical Thinking;Data Analysis;Excel;Statistics;Teaching;Writing,Research,3,2023,Government,Research Analyst
BTech,Cloud;Critical Thinking;Java;Problem Solving;Python;SQL,AI;Startup,1,2025,Government,Software Engineer
MBA,Communication;Data Analysis;Leadership;Problem Solving;Python;Teaching,Product Management;Startup,5,2021,Job Security,Product Manager
BA,Communication;Data Analysis;Excel;Leadership;Marketing;Problem Solving,Business;Management,1,2025,Job Security,HR Analyst
MBA,Communication;Critical Thinking;Excel;Finance;Public Speaking;Statistics,Design;Trading,4,2022,High Salary,Investment Analyst
MCA,Cybersecurity;Problem Solving;Public Speaking;Python;Tableau,Coding;Cybersecurity,1,2024,Remote Job,Cloud Engineer
Other,Canva;Communication;Critical Thinking;Design;Problem Solving;Sales,Design;Startup,1,2025,Startup Culture,UI/UX Designer
BTech,AI/ML;Cloud;Machine Learning;Python,AI;Research,3,2023,High Salary,AI Engineer
MTech,AI/ML;Cloud;Leadership;Problem Solving;Python;SQL;Writing,Coding;Data,6,2020,High Salary,AI Engineer
BCom,AI/ML;Excel;Finance;Python;Statistics,Business;Data,1,2024,Job Security,Financial Analyst
BTech,AI/ML;Critical Thinking;Java;Problem Solving;Python;SQL,AI,4,2022,Remote Job,Software Engineer
BBA,AI/ML;Communication;Critical Thinking;Excel;Statistics,Trading,2,2024,Startup Culture,Investment Analyst
BSc,Critical Thinking;SQL;Statistics;Writing,Data;Research,2,2022,Government,Research Analyst
BTech,Canva;Communication;Design;Statistics;Teaching,Design,2,2024,Government,UI/UX Designer
BBA,Canva;Communication;Data Analysis;Leadership;Problem Solving;Sales,Business;Management,6,2020,Startup Culture,HR Analyst
BTech,Cloud;Critical Thinking;Cybersecurity;Python;Tableau,Cybersecurity;Data;Trading,0,2025,Job Security,Cybersecurity Analyst
BBA,Data Analysis;Finance;Marketing;SQL;Statistics,Marketing,0,2026,Fast Growth,Marketing Analyst
BTech,Data Analysis;Excel;Power BI;SQL;Tableau;Teaching,AI;Data;Management,4,2022,Government,Data Analyst
BBA,AI/ML;Critical Thinking;Data Analysis;Excel;Problem Solving;SQL,Data;Management,1,2024,Abroad Opportunity,Business Analyst
BBA,Cybersecurity;Leadership;Marketing;Public Speaking;Sales,Consulting;Startup,0,2024,Remote Job,Sales Manager
MBA,Communication;Critical Thinking;Excel;Finance;Teaching,Data;Trading,0,2026,Government,Investment Analyst
BTech,Cloud;Critical Thinking;Java;Problem Solving;Python;SQL,AI;Teaching,6,2020,Government,Software Engineer
BCA,Critical Thinking;Data Analysis;Leadership;Marketing;Problem Solving,Business;Product Management,4,2022,Fast Growth,Product Manager
BA,Communication;Leadership;Marketing;Power BI;Sales,Business;Management,5,2021,High Salary,Sales Manager
BCom,Communication;Critical Thinking;Data Analysis;Statistics;Writing,Healthcare,3,2022,Government,Research Analyst
MCA,AI/ML;Cloud;Java;Machine Learning;Python;SQL,AI;Data,3,2022,Job Security,AI Engineer
BTech,AI/ML;Machine Learning;SQL;Statistics;Writing,AI;Cybersecurity,5,2021,Government,ML Engineer
BTech,Cloud;Cybersecurity;Problem Solving;Python;SQL,Startup,8,2018,Remote Job,Cloud Engineer
BTech,AI/ML;Data Analysis;Excel;Leadership;Power BI;Python;SQL;Statistics,AI;Consulting,2,2022,Startup Culture,Data Analyst
BTech,AI/ML;Canva;Cloud;Communication;SQL;Statistics,Coding,0,2026,Startup Culture,ML Engineer
BCom,Communication;Excel;Problem Solving;SQL,Consulting;Data,1,2025,Abroad Opportunity,Business Analyst
BTech,Data Analysis;Machine Learning;Python;SQL;Statistics,AI;Research,4,2022,Fast Growth,Data Scientist
MCom,Critical Thinking;Excel;Finance;Statistics,Data;Trading,1,2025,High Salary,Investment Analyst
BA,Canva;Communication;Critical Thinking;Java;Problem Solving,Design;Product Management,4,2022,Job Security,UI/UX Designer
BBA,Communication;Data Analysis;Design;Excel;Problem Solving;Public Speaking;SQL,Business;Data,6,2020,Fast Growth,Operations Analyst
BBA,Communication;Critical Thinking;Finance;Leadership;Problem Solving;Sales,Consulting;Cybersecurity,2,2024,Government,Management Consultant
BA,Canva;Communication;Critical Thinking;Design,Design,3,2021,Abroad Opportunity,UI/UX Designer
MBA,Communication;Data Analysis;Excel;Marketing;Statistics,Business;Data;Product Management,0,2026,Government,Marketing Analyst
BSc,AI/ML;Cloud;Machine Learning;Power BI;SQL;Statistics,AI;Data,0,2026,Startup Culture,ML Engineer
MTech,AI/ML;Cloud;Data Analysis;Machine Learning;Power BI;Python;SQL;Statistics,Coding,4,2022,High Salary,ML Engineer
BCA,Cloud;Critical Thinking;Cybersecurity;Java;Problem Solving;Python;SQL;Video Editing,Startup,3,2023,Fast Growth,Software Engineer
MBA,Communication;Data Analysis;Excel;Java;Leadership;Problem Solving;Statistics,Business;Data,4,2020,Job Security,HR Analyst
MCA,AI/ML;Machine Learning;Public Speaking;Python;SQL;Statistics,AI,1,2025,Fast Growth,ML Engineer
BCom,Canva;Communication;Machine Learning;Marketing;Public Speaking;Video Editing;Writing,Marketing;Product Management;Startup,0,2026,Startup Culture,Digital Marketer
BTech,Communication;Excel;Problem Solving;SQL;Writing,Business;Cybersecurity;Data,5,2021,Fast Growth,Operations Analyst
MBA,Communication;Data Analysis;Excel;Problem Solving;SQL,Business;Data,2,2023,Job Security,Operations Analyst
BA,Marketing;Video Editing;Writing,Cybersecurity;Startup,8,2018,High Salary,Digital Marketer
BTech,Critical Thinking;Data Analysis;Excel;Public Speaking;SQL;Statistics,Business;Research,2,2022,Government,Data Analyst
BA,Communication;Critical Thinking;Machine Learning;Problem Solving;Public Speaking;Teaching;Writing,Healthcare;Research,0,2026,High Salary,Teacher
MBA,Communication;Data Analysis;Excel;Finance;Machine Learning;Statistics,Business;Data,1,2025,Job Security,Financial Analyst
BBA,Communication;Critical Thinking;Data Analysis;Finance;Leadership;Problem Solving,Business,1,2025,High Salary,Management Consultant
BSc,Excel;Power BI;Python;SQL,Business,2,2024,High Salary,Data Analyst
MCA,Cloud;Cybersecurity;Finance;Problem Solving,Data;Management,4,2021,High Salary,Cybersecurity Analyst
BBA,Communication;Data Analysis;Excel;Problem Solving,Business;Consulting,2,2024,Remote Job,Business Analyst
BTech,Cloud;Design;Java;Machine Learning;Problem Solving;Python;SQL,Coding;Data;Research,4,2022,High Salary,AI Engineer
BTech,AI/ML;Cloud;Finance;Leadership;Machine Learning;Problem Solving;Python;SQL,Data;Research,1,2025,High Salary,AI Engineer
BSc,Communication;Critical Thinking;Data Analysis;Statistics;Writing,Data;Research,0,2026,Government,Research Analyst
BCA,Data Analysis;Excel;Python;Statistics,AI;Research,1,2025,Government,Data Analyst
MBA,Data Analysis;Excel;Leadership;Problem Solving,Business,2,2024,Abroad Opportunity,HR Analyst
BSc,AI/ML;Data Analysis;Design;Machine Learning;Statistics,AI;Research,0,2026,Job Security,Data Scientist
MCA,AI/ML;Data Analysis;Machine Learning;Python;SQL;Statistics,Data,3,2023,Fast Growth,Data Scientist
MTech,AI/ML;Data Analysis;Machine Learning;Python;SQL;Statistics,AI;Cybersecurity,4,2021,Fast Growth,Data Scientist
BTech,Data Analysis;Excel;SQL;Statistics,Data,4,2022,High Salary,Data Analyst
MBA,Communication;Data Analysis;Finance;Leadership;Problem Solving;Tableau,Consulting;Management,2,2024,High Salary,Management Consultant
Other,Canva;Critical Thinking;Design,Product Management,0,2026,Startup Culture,UI/UX Designer
MBA,Leadership;Marketing;Public Speaking,Startup,4,2022,Abroad Opportunity,Sales Manager
MBA,Communication;Marketing;Public Speaking;Sales,Business;Coding;Startup,4,2021,Remote Job,Sales Manager
BA,Canva;Communication;Cybersecurity;Marketing;Writing,Business;Startup,1,2025,Government,Digital Marketer
MCA,Finance;Machine Learning;Python;SQL;Statistics,Coding;Data,4,2022,High Salary,ML Engineer
MBA,Communication;Data Analysis;Excel;Marketing,Business;Coding;Data,1,2025,Remote Job,Marketing Analyst
BCom,Communication;Data Analysis;Excel;SQL;Writing,Business,5,2021,Abroad Opportunity,Business Analyst
BCom,Communication;Critical Thinking;Leadership;Teaching,Data;Teaching,2,2022,Job Security,Teacher
12th PCM,Data Analysis;Excel;Power BI;Python;SQL,Business;Data;Design,6,2020,Government,Data Analyst
BTech,Canva;Communication;Critical Thinking;Data Analysis;Finance;Leadership;Problem Solving;Writing,Business;Management,1,2025,High Salary,Management Consultant
BTech,Communication;Data Analysis;Finance;Problem Solving;SQL,Cybersecurity;Management,0,2026,Abroad Opportunity,Operations Analyst
BTech,Canva;Communication;Critical Thinking;Design;Marketing;Problem Solving;Video Editing,Design;Product Management,5,2021,Remote Job,UI/UX Designer
MBA,Communication;Data Analysis;Excel;Machine Learning;Marketing;Statistics,Data;Finance,2,2024,Startup Culture,Marketing Analyst
BBA,Cloud;Communication;Critical Thinking;Data Analysis;Problem Solving;SQL,Data;Trading,4,2022,Fast Growth,Business Analyst
BTech,Cloud;Critical Thinking;Problem Solving;SQL;Video Editing,Healthcare;Startup,5,2021,Fast Growth,Software Engineer
BSc,Canva;Communication;Critical Thinking;Design;Problem Solving,Design,2,2022,High Salary,UI/UX Designer
BTech,AI/ML;Cloud;Critical Thinking;Python,Coding;Data;Finance,6,2020,High Salary,Cybersecurity Analyst
BBA,Communication;Leadership;Marketing;Public Speaking;Sales,Management,3,2023,Job Security,Sales Manager
BBA,Data Analysis;Excel;Leadership;Writing,Business,5,2019,Job Security,HR Analyst
BTech,Communication;Critical Thinking;Data Analysis;Excel;Problem Solving;SQL,Business;Data,0,2024,Abroad Opportunity,Business Analyst
MBA,Communication;Data Analysis;Excel;Marketing;Statistics,Business;Marketing,6,2020,Fast Growth,Marketing Analyst
BTech,Canva;Cloud;Data Analysis;Excel;Power BI;Python;SQL;Statistics,AI;Data,2,2022,Abroad Opportunity,Data Analyst
BTech,Data Analysis;Leadership;Machine Learning;SQL;Statistics,AI;Consulting,2,2023,Fast Growth,Data Scientist
MBA,Data Analysis;Excel;Leadership;Problem Solving,Data;Healthcare,1,2024,Job Security,HR Analyst
MCA,AI/ML;Cloud;Data Analysis;Power BI;Python;SQL;Statistics,AI;Research,5,2020,Fast Growth,Data Scientist
BBA,Canva;Communication;Data Analysis;Excel;Marketing;SQL;Statistics,Business;Marketing,2,2024,Job Security,Marketing Analyst
BA,Communication;Data Analysis;Excel;Leadership;Writing,Consulting;Data;Management,3,2021,Job Security,HR Analyst
BCom,AI/ML;Communication;Data Analysis;Design;Excel;Statistics,Finance,2,2024,Fast Growth,Financial Analyst
MCom,Communication;Data Analysis;Excel;Finance;Problem Solving;Statistics,Data,1,2024,Fast Growth,Financial Analyst
MBA,Communication;Data Analysis;Excel;Java;Marketing;Statistics,Marketing,5,2020,Abroad Opportunity,Marketing Analyst
BBA,Canva;Communication;Critical Thinking;Data Analysis;Finance;Leadership;Problem Solving;Tableau,Business;Management;Trading,0,2026,High Salary,Management Consultant
MCA,Cloud;Java;Machine Learning;Problem Solving;Public Speaking;Python;SQL,AI;Coding;Product Management,1,2025,Remote Job,Software Engineer
MCA,AI/ML;Data Analysis;Machine Learning;Marketing;Python;SQL;Statistics,Data;Research,5,2020,Fast Growth,Data Scientist
BCA,Cloud;Critical Thinking;Java;Problem Solving;Python;SQL,Business;Coding;Startup,1,2025,Remote Job,Software Engineer
BTech,Communication;Critical Thinking;Data Analysis;Finance;Leadership;Problem Solving;SQL;Video Editing,Business;Consulting;Management,0,2026,High Salary,Management Consultant
MBA,Communication;Excel;Finance;Statistics,Business,1,2025,Job Security,Financial Analyst
BCA,Communication;Critical Thinking;Data Analysis;Excel;Marketing;Problem Solving;SQL,Cybersecurity;Data,2,2024,Job Security,Business Analyst
BTech,Cloud;Critical Thinking;Data Analysis;Excel;Problem Solving;SQL;Tableau,Consulting;Data;Research,5,2021,Job Security,Business Analyst
MCom,Critical Thinking;Excel;Finance,Finance;Trading,3,2023,High Salary,Investment Analyst
BBA,Cloud;Data Analysis;Excel;Leadership,Business,3,2023,Job Security,HR Analyst
BBA,Cybersecurity;Data Analysis;Excel;Leadership;Marketing,Cybersecurity;Data,3,2023,Job Security,Marketing Analyst
MBA,Communication;Data Analysis;Excel;Problem Solving;Public Speaking;SQL,Management,8,2018,Job Security,Operations Analyst
MBA,Communication;Critical Thinking;Data Analysis;Finance;Leadership;Problem Solving;Python,Business;Consulting,5,2021,High Salary,Management Consultant
BCA,Cloud;Critical Thinking;Java;Power BI;Problem Solving;Python,AI;Coding;Teaching,3,2023,Fast Growth,Software Engineer
MBA,Communication;Critical Thinking;Data Analysis;Finance;Leadership;Problem Solving;Python;SQL,Consulting,8,2017,Startup Culture,Management Consultant
BTech,Communication;Cybersecurity;Data Analysis;Leadership;Power BI;Problem Solving,Business;Consulting,0,2026,Job Security,Product Manager
BCom,Communication;Finance;Machine Learning;Statistics,Data;Finance,2,2023,Job Security,Financial Analyst
MBA,Canva;Communication;Marketing;Video Editing,Marketing,0,2025,Remote Job,Digital Marketer
MBA,Communication;Critical Thinking;Data Analysis;Finance,Business;Management,8,2018,High Salary,Management Consultant
BCA,Cloud;Critical Thinking;Problem Solving;Python,Coding;Cybersecurity,1,2024,Remote Job,Cybersecurity Analyst
BCA,Canva;Critical Thinking;Design;Excel;Problem Solving,Business;Startup,1,2025,Fast Growth,UI/UX Designer
MBA,Canva;Communication;Critical Thinking;Excel;Finance;Power BI;Statistics,Data;Trading,0,2024,Job Security,Investment Analyst
BA,Communication;Data Analysis;Statistics,Data,1,2025,Government,Research Analyst
BCA,Canva;Communication;Critical Thinking;Design;Problem Solving,Product Management;Startup,1,2025,Government,UI/UX Designer
MBA,Communication;Critical Thinking;Data Analysis;Finance;Problem Solving,Business;Management,8,2018,High Salary,Management Consultant
MBA,Communication;Critical Thinking;Data Analysis;Leadership;Problem Solving,Business,1,2025,High Salary,HR Analyst
BCom,Communication;Data Analysis;Design;Finance;Statistics,Data,3,2023,Job Security,Financial Analyst
BTech,Cloud;Cybersecurity;Data Analysis;Problem Solving;Sales,Design;Startup,6,2020,Government,Cloud Engineer
BSc,AI/ML;Cloud;Communication;Power BI;Python;Statistics,AI;Data,1,2025,Government,ML Engineer
BCA,Data Analysis;Excel;Power BI;Python;SQL;Statistics,Business;Data;Marketing,2,2024,Fast Growth,Data Analyst
BA,Communication;Critical Thinking;Data Analysis;Public Speaking;Teaching;Writing,Product Management;Research,4,2022,Job Security,Teacher
BSc,Communication;Critical Thinking;Data Analysis;Statistics;Writing,Data,8,2018,Government,Research Analyst
BCA,Data Analysis;Finance;Java;Problem Solving;Python;SQL,Startup,2,2024,Remote Job,Software Engineer
MBA,Communication;Critical Thinking;Data Analysis;Excel;Problem Solving;SQL,Business;Coding,4,2022,Job Security,Business Analyst
BTech,AI/ML;Data Analysis;Python;SQL;Statistics,Research,4,2020,Government,Data Scientist
